FIPS,County,Year,Physically Unhealthy Days,Mentally Unhealthy Days,% Smokers,% Obese,% Physically Inactive,% Exercise Access,% Excessive Drinking,Teen Birth Rate,% Uninsured,Preventable Hospitalization Rate,% Some College,% Unemployed,% Children in Poverty,80th Percentile Income,20th Percentile Income,Income Ratio,% Single-Parent Households,Injury Death Rate
53075,Whitman,2017,4.115769964,4.1392679189,16.226085211,22.9,15.5,78.178041808,21.15065714,3.7609503279,9.4594594595,42.98,84.581186218,4.6651717012,14.4,89734,12472,7.1948364336,24.996406497,42.871167853
53077,Yakima,2017,4.4974210029,4.0938452327,16.885092537,29.6,23.7,69.278587022,16.895101255,59.040135583,18.250584126,44.56,40.089812593,7.9605414086,27.4,83583,20823,4.0139749316,38.578603991,62.617205269
53001,Adams,2018,4.9128160406,4.0250809293,15.595689408,36.4,22.1,62.489320803,15.24369364,62.279234058,14.415477174,26.31,37.557152188,6.8053799287,25.1,86423,21059,4.103851085,31.019003442,52.223139028
53003,Asotin,2018,3.82098759,4.0846298597,16.146870179,33.1,26.3,97.951255607,17.758491664,35.940803383,7.1254779284,35.12,62.16383947,5.1135795057,20.6,90952,19763,4.6021353033,33.150744961,74.142389555
53005,Benton,2018,3.6971497306,3.6338239073,13.41682884,29.5,18.6,79.642875492,20.118842516,30.408440646,7.3740154328,48.19,65.109262712,6.5481610096,13.9,115716,25741,4.4953964492,30.715699802,56.221429219
53007,Chelan,2018,3.6913108639,3.7558286728,14.013775904,26.7,17.6,89.510441252,18.786620955,30.457156534,9.6897834029,25.75,48.601036269,5.8701641733,16.4,99344,21986,4.5185117802,25.164199043,74.821497285
53009,Clallam,2018,3.8888307138,4.0606149039,13.546055817,25.4,17.7,76.722592572,16.507689711,28.271736458,9.4948559075,23.25,61.326197261,7.912568306,22.2,88291,21221,4.1605485133,34.986713906,95.356573301
53011,Clark,2018,3.6091410283,3.7953468845,14.251763665,28.5,17.5,95.924892386,18.034055348,20.469625873,6.9413158849,40.7,66.169562678,6.2540796345,10.9,114696,30040,3.8181091877,25.839607666,63.992919179
53013,Columbia,2018,4.1663780716,4.1993012452,14.99271847,31.4,24.9,72.731731241,15.24809784,16.806722689,7.4295774648,47.91,74.386920981,6.8129330254,23.8,86769,18468,4.6983430799,20.080862534,105.55946517
53015,Cowlitz,2018,4.0440724963,4.0897100905,17.00447249,31.9,20.3,80.420857338,18.731406556,33.183377132,7.9984182903,32.71,56.993006993,7.4856773446,20.2,93189,20504,4.5449180648,34.037187433,81.225455047
53017,Douglas,2018,3.909387362,3.8293643155,13.46024674,30.5,20.4,84.012906248,16.279487305,31.625091327,11.235218777,24.73,52.36055985,7.1100140361,17.8,95268,25895,3.6790113922,32.79877816,65.341220833
53019,Ferry,2018,4.640253409,4.6155946962,18.351187184,28.3,20.6,59.806648126,16.049523512,26.385224274,11.87826087,38.21,55.017301038,10.812975571,28.2,81614,13890,5.875737941,37.589158345,125.60841576
